ward_id,ward_name,circle,zone,area_sq_m,latitude,longitude,population,population_density,elderly_percentage,outdoor_worker_density,healthcare_access,informal_settlement_percentage,temperature,relative_humidity,wet_bulb_temperature,wind_speed,solar_radiation,dew_point,pressure,cloud_cover,land_surface_temperature,heat_index,estimated_wbgt,vulnerability_score,risk_score,risk_level,data_type,weather_timestamp,vulnerability_level
127,127-RANGAREDDY NAGAR,25-QUTUBULLAPUR,KUKATPALLY ZONE,2590280.1048444114,17.48964944292188,78.43893399926219,23979,9257.3,10.0,26.73,75.47,12.09,26.36,53.1,23.08,5.01,558.25,16.98,993.99,57.5,27.36,26.36,21.98,21.3,25.09,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
119,119-OLD BOWENPALLY,24-KUKATPALLY,KUKATPALLY ZONE,3021889.459824037,17.478958926197713,78.48526179486917,69855,23116.33,12.05,39.42,76.91,24.97,29.07,67.09,26.77,3.44,576.72,22.49,996.88,34.73,37.25,29.09,25.13,33.01,46.48,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
145,145-SEETHAPHALMANDI,29-SECUNDERABAD,SECUNDERABAD ZONE,1081904.2941745718,17.42425087883994,78.51527961575475,61856,57173.26,13.69,51.88,72.7,19.85,29.17,58.31,26.25,5.13,363.75,20.83,987.57,0.0,34.92,29.17,24.57,39.26,41.05,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
146,146-BOUDHA NAGAR,29-SECUNDERABAD,SECUNDERABAD ZONE,838298.0880336708,17.41624731138222,78.51495100706592,47404,56547.9,10.42,24.79,43.98,18.96,30.6,60.79,27.85,4.57,452.52,22.75,1000.95,31.18,37.75,30.6,26.07,34.5,46.37,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
147,147-BANSILALPET,30-BEGUMPET,SECUNDERABAD ZONE,2095399.618771283,17.426369947282694,78.50174643366857,47012,22435.82,13.1,25.84,28.73,20.09,33.23,58.14,30.3,2.15,473.66,24.85,991.2,31.74,35.79,33.56,28.33,41.3,58.4,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
144,144-METTUGUDA,29-SECUNDERABAD,SECUNDERABAD ZONE,3349306.549168954,17.43252709694544,78.52227539791869,75526,22549.74,9.18,10.0,68.92,24.44,30.51,61.37,27.81,6.16,1000.0,22.78,992.2,76.92,33.85,30.51,26.57,22.48,46.83,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
148,148-RAMGOPALPET,30-BEGUMPET,SECUNDERABAD ZONE,1662033.745731001,17.433542054883947,78.48844029718686,23758,14294.54,10.23,32.72,59.98,9.9,28.94,62.25,26.3,3.25,926.3,21.39,994.89,5.86,34.23,28.94,25.12,26.98,45.08,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
150,150-MONDA  MARKET,30-BEGUMPET,SECUNDERABAD ZONE,2553843.252952385,17.44061991281695,78.5037217961666,64723,25343.37,10.16,20.13,75.81,30.48,30.89,38.63,26.59,1.52,550.0,18.61,987.19,27.19,35.85,30.89,25.34,27.43,38.97,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
136,136-NEREDMET,28-MALKAJGIRI,SECUNDERABAD ZONE,1047119.2300414928,17.578886180733562,78.56746324325543,31498,30080.62,7.31,27.59,79.93,29.95,33.1,64.67,30.62,2.43,558.19,26.03,996.14,69.12,38.66,33.66,28.62,25.16,57.39,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
141,141-GOUTHAM NAGAR,28-MALKAJGIRI,SECUNDERABAD ZONE,2047754.6421614287,17.44956399573911,78.52889190960495,24309,11871.05,13.2,22.72,70.35,26.62,29.05,48.18,25.42,2.47,424.64,18.68,999.84,44.0,36.22,29.05,24.03,31.27,36.05,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
140,140-MALKAJGIRI,28-MALKAJGIRI,SECUNDERABAD ZONE,2239355.805985993,17.461279418933067,78.53691644739463,53274,23789.88,9.86,33.68,80.92,28.68,29.18,43.58,25.23,4.08,295.62,17.89,996.46,46.27,30.65,29.18,23.79,29.05,31.3,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
139,139-EAST ANAND BAGH,28-MALKAJGIRI,SECUNDERABAD ZONE,4423331.975810948,17.450213974109126,78.54951157287715,83366,18846.88,11.54,10.39,71.9,25.56,32.12,57.42,29.14,3.59,600.13,23.6,987.06,37.29,39.06,32.12,27.42,24.91,50.43,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
142,142-ADDAGUTTA,29-SECUNDERABAD,SECUNDERABAD ZONE,2023313.6503470105,17.43984883719442,78.52135409590643,67295,33259.8,13.18,14.46,77.01,46.42,30.56,58.84,27.68,3.49,450.37,22.32,994.38,41.6,35.57,30.56,25.93,35.72,46.79,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
137,137-VINAYAK NAGAR,28-MALKAJGIRI,SECUNDERABAD ZONE,2196567.7757780664,17.470616529528634,78.54323145592058,68996,31410.82,13.06,64.81,56.02,20.95,32.29,51.06,28.87,4.93,605.58,22.51,998.71,50.55,36.89,32.29,27.27,46.47,53.2,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
