datetime,temperature,relative_humidity,wet_bulb_temperature,wind_speed,solar_radiation_wm2,ward,OBJECTID,CIRCLE,ZONE,latitude_forecast,longitude_forecast,day_offset,forecastDay,heatIndex,estimatedWBGT,temperature_rolling_max_3d,temperature_rolling_mean_7d,wetbulb_rolling_max_3d,riskScore,riskLevel,_match_name,ward_id,ward_name,circle,zone,area_sq_m,latitude_master,longitude_master,population,population_density,elderly_percentage,outdoor_worker_density,healthcare_access,informal_settlement_percentage,vulnerability_score,vulnerability_level
2026-09-14 00:00:00,24.543773663803545,98.07171965431954,24.33,5.512094161142192,0.0,1-KAPRA,152,1-KAPRA,L.B.NAGAR ZONE,17.494314704500056,78.55654014301251,0,TODAY,24.54,24.25,24.543773663803545,24.543773663803545,24.33,55.8,HIGH,1-KAPRA,152,54-JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,1520779.030143766,17.342457721642596,78.45924325597294,71919,47290.89,12.85,51.4,48.59,17.14,43.23,MODERATE
2026-09-14 01:00:00,24.643773663803543,96.07171965431954,24.16,5.7120941611421925,0.0,1-KAPRA,152,1-KAPRA,L.B.NAGAR ZONE,17.494314704500056,78.55654014301251,0,TODAY,24.64,24.16,24.643773663803543,24.593773663803546,24.33,56.09,HIGH,1-KAPRA,152,54-JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,1520779.030143766,17.342457721642596,78.45924325597294,71919,47290.89,12.85,51.4,48.59,17.14,43.23,MODERATE
2026-09-14 02:00:00,24.543773663803545,96.07171965431954,24.06,4.612094161142193,0.0,1-KAPRA,152,1-KAPRA,L.B.NAGAR ZONE,17.494314704500056,78.55654014301251,0,TODAY,24.54,24.08,24.643773663803543,24.577106997136877,24.33,56.37,HIGH,1-KAPRA,152,54-JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,1520779.030143766,17.342457721642596,78.45924325597294,71919,47290.89,12.85,51.4,48.59,17.14,43.23,MODERATE
2026-09-14 03:00:00,24.343773663803546,97.07171965431954,23.99,6.512094161142192,0.0,1-KAPRA,152,1-KAPRA,L.B.NAGAR ZONE,17.494314704500056,78.55654014301251,0,TODAY,24.34,23.95,24.643773663803543,24.518773663803543,24.33,55.58,HIGH,1-KAPRA,152,54-JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,1520779.030143766,17.342457721642596,78.45924325597294,71919,47290.89,12.85,51.4,48.59,17.14,43.23,MODERATE
2026-09-14 04:00:00,24.043773663803545,99.07171965431954,23.96,5.812094161142193,0.0,1-KAPRA,152,1-KAPRA,L.B.NAGAR ZONE,17.494314704500056,78.55654014301251,0,TODAY,24.04,23.84,24.643773663803543,24.423773663803544,24.33,54.79,HIGH,1-KAPRA,152,54-JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,1520779.030143766,17.342457721642596,78.45924325597294,71919,47290.89,12.85,51.4,48.59,17.14,43.23,MODERATE
2026-09-14 05:00:00,23.143773663803543,100.0,23.18,5.112094161142193,0.0,1-KAPRA,152,1-KAPRA,L.B.NAGAR ZONE,17.494314704500056,78.55654014301251,0,TODAY,23.14,23.03,24.643773663803543,24.21044033047021,24.33,53.47,HIGH,1-KAPRA,152,54-JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,1520779.030143766,17.342457721642596,78.45924325597294,71919,47290.89,12.85,51.4,48.59,17.14,43.23,MODERATE
2026-09-14 06:00:00,23.243773663803545,100.0,23.28,6.7120941611421925,0.0,1-KAPRA,152,1-KAPRA,L.B.NAGAR ZONE,17.494314704500056,78.55654014301251,0,TODAY,23.24,23.11,24.643773663803543,24.072345092374974,24.33,53.8,HIGH,1-KAPRA,152,54-JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,1520779.030143766,17.342457721642596,78.45924325597294,71919,47290.89,12.85,51.4,48.59,17.14,43.23,MODERATE
2026-09-14 07:00:00,23.243773663803545,100.0,23.28,2.8120941611421926,8.359612177730014,1-KAPRA,152,1-KAPRA,L.B.NAGAR ZONE,17.494314704500056,78.55654014301251,0,TODAY,23.24,23.18,24.643773663803543,23.968773663803546,24.33,57.78,HIGH,1-KAPRA,152,54-JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,1520779.030143766,17.342457721642596,78.45924325597294,71919,47290.89,12.85,51.4,48.59,17.14,43.23,MODERATE
2026-09-14 08:00:00,23.843773663803546,100.0,23.88,2.4120941611421927,45.359612177730014,1-KAPRA,152,1-KAPRA,L.B.NAGAR ZONE,17.494314704500056,78.55654014301251,0,TODAY,23.84,23.8,24.643773663803543,23.954884774914657,24.33,60.2,HIGH,1-KAPRA,152,54-JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,1520779.030143766,17.342457721642596,78.45924325597294,71919,47290.89,12.85,51.4,48.59,17.14,43.23,MODERATE
2026-09-14 09:00:00,24.143773663803543,98.07171965431954,23.93,4.112094161142193,96.35961217773001,1-KAPRA,152,1-KAPRA,L.B.NAGAR ZONE,17.494314704500056,78.55654014301251,0,TODAY,24.14,23.91,24.643773663803543,23.973773663803545,24.33,57.34,HIGH,1-KAPRA,152,54-JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,1520779.030143766,17.342457721642596,78.45924325597294,71919,47290.89,12.85,51.4,48.59,17.14,43.23,MODERATE
